,date,Code,CO,NO_2,NOx,O_3,PM10,SO_2,NO,station,type,lat,lon
192,2017-12-01,mc042,,28.028576437587656,39.8015427769986,27.28938756428237,16.845430107526884,,7.700327255726977,Neukölln,Hintergrund,52.48943888888889,13.430855555555555
193,2018-01-01,mc077,,16.2877512856475,19.276472650771392,33.734805984104725,16.661290322580644,,1.958625525946704,Buch,Stadtrand,52.64416666666666,13.483055555555556
194,2018-01-01,mc143,,48.796692379616644,149.1979312762974,,26.478494623655916,,65.73422159887797,Silbersteinstraße,Verkehr,52.467511111111115,13.441650000000001
195,2018-01-01,mc282,,21.306695992179858,27.955522971651998,,,1.4249755620723359,4.358015640273704,Karlshorst,Hintergrund,52.485296,13.529504000000001
196,2018-01-01,mc010,,27.980083088954053,42.76417399804496,29.27390135577373,18.21639784946237,,9.670332355816228,Wedding,Hintergrund,52.543040999999995,13.349326000000001
197,2018-01-01,mc171,,25.264317438055166,34.13563581112668,,19.68811360448808,,5.809724170172979,Mitte,Hintergrund,52.51360555555556,13.418833333333334
198,2018-01-01,mw088,0.3847417017297802,46.03262463343109,126.30217497556207,22.109163160355312,22.1263440860215,,52.53384652981428,Messwagen Leipziger Str.,Verkehr,52.510222222222225,13.38811111111111
199,2018-01-01,mc174,0.40767943409247753,38.88811405985319,87.65877721312505,,25.297334368530024,1.455869251521425,31.937128270280443,Frankfurter Allee,Verkehr,52.514072222222225,13.469930555555555
200,2018-01-01,mc042,,26.250759700794756,36.73007246376813,30.700853202431045,20.168132942326483,,6.871026180458159,Neukölln,Hintergrund,52.48943888888889,13.430855555555555
201,2018-01-01,mc085,,13.293361383824218,15.405738662926598,38.74655212716223,17.02033660589061,,1.4109396914446,Friedrichshagen,Stadtrand,52.44769722222222,13.64705
202,2018-01-01,mc115,,41.90456989247311,98.36535764375876,,,,36.99158485273492,Hardenbergplatz,Verkehr,52.5066,13.332972222222223
203,2018-01-01,mc145,,13.157497131199797,15.96462875600323,37.1604721832632,,,1.8355327468230698,Frohnau,Stadtrand,52.65326944444444,13.296080555555555
204,2018-01-01,mc027,,13.90982404692082,18.288000977517104,37.25026031705555,,,2.855938416422288,Marienfelde,Stadtrand,52.398405555555556,13.368102777777779
205,2018-01-01,mc018,,26.889083683964465,39.504382889200556,,,,8.256428237494156,Schöneberg,Hintergrund,52.48581388888889,13.348775
206,2018-01-01,mc124,,39.734970674486796,107.81366080156403,,22.588709677419356,,44.58712121212122,Mariendorfer Damm,Verkehr,52.43805555555555,13.3875
207,2018-01-01,mc032,,14.042075736325385,18.698574100046752,36.84543010752688,14.810483870967742,,2.994623655913979,Grunewald,Stadtrand,52.47319166666667,13.225144444444444
208,2018-01-01,mc220,,44.46175464320625,120.68108504398825,,25.62903225806451,,49.905058651026394,Karl-Marx-Straße,Verkehr,52.48166944444445,13.433966666666667
209,2018-01-01,mc117,0.40865474520804107,42.05861383824217,104.20389200561011,,23.096774193548388,,40.70120383356708,Schildhornstraße,Verkehr,52.46361111111111,13.318249999999999
210,2018-02-01,mc085,,15.116168898389398,17.459021503858462,45.5743367010836,24.51240723562152,,1.5458662714097493,Friedrichshagen,Stadtrand,52.44769722222222,13.64705
211,2018-02-01,mc018,,34.455627705627705,46.19385822510822,,,,7.707251082251081,Schöneberg,Hintergrund,52.48581388888889,13.348775
212,2018-02-01,mc117,0.4416666666666668,50.223020186335404,106.5381728778468,,32.171195652173914,,36.85060817805383,Schildhornstraße,Verkehr,52.46361111111111,13.318249999999999
213,2018-02-01,mc010,,31.01398691887822,43.6990577357425,35.09801430453605,25.38622835497835,,8.306535855448896,Wedding,Hintergrund,52.543040999999995,13.349326000000001
214,2018-02-01,mc220,,46.042637163561075,103.70231625258798,,36.42003105590062,,37.71784420289856,Karl-Marx-Straße,Verkehr,52.48166944444445,13.433966666666667
215,2018-02-01,mc032,,21.112254140786746,25.292766563146994,39.311011904761905,21.26190476190476,,2.7297489648033126,Grunewald,Stadtrand,52.47319166666667,13.225144444444444
216,2018-02-01,mc171,,27.816899585921323,34.83229813664596,,26.14880952380952,,4.607725155279503,Mitte,Hintergrund,52.51360555555556,13.418833333333334
217,2018-02-01,mc042,,31.393180641821942,41.48130175983437,36.98278985507246,28.836309523809522,,6.568258281573499,Neukölln,Hintergrund,52.48943888888889,13.430855555555555
218,2018-02-01,mc124,,46.89912125917561,109.57154620741582,,34.202380952380956,,41.036455392433645,Mariendorfer Damm,Verkehr,52.43805555555555,13.3875
219,2018-02-01,mc115,,51.793219461697724,119.4044384057971,,,,44.34297360248446,Hardenbergplatz,Verkehr,52.5066,13.332972222222223
220,2018-02-01,mc282,,25.486218944099384,36.30971790890269,,,1.5894209956709955,7.085662525879916,Karlshorst,Hintergrund,52.485296,13.529504000000001
221,2018-02-01,mc174,0.41300465838509315,40.29884834368529,83.15618530020704,,36.605654761904766,2.426489271597967,28.065411490683225,Frankfurter Allee,Verkehr,52.514072222222225,13.469930555555555
222,2018-02-01,mc077,,20.080874741200827,24.73628364389234,35.591356107660445,23.729166666666668,,3.038496376811594,Buch,Stadtrand,52.64416666666666,13.483055555555556
223,2018-02-01,mc145,,15.808741530208922,17.948657773386035,42.09374999999999,,,1.404814840956145,Frohnau,Stadtrand,52.65326944444444,13.296080555555555
224,2018-02-01,mw088,0.4094073498964804,60.600802277432706,150.38586956521743,22.75291149068323,34.63095238095238,,58.77471532091098,Messwagen Leipziger Str.,Verkehr,52.510222222222225,13.38811111111111
225,2018-02-01,mc027,,22.00459368530021,25.975284679089025,40.773615424430645,,,2.6055253623188404,Marienfelde,Stadtrand,52.398405555555556,13.368102777777779
226,2018-02-01,mc143,,58.82815734989647,167.9565217391304,,37.796130952380956,,71.44215838509317,Silbersteinstraße,Verkehr,52.467511111111115,13.441650000000001
227,2018-03-01,mc171,,26.77699328488249,33.71347061073569,,27.03938756428238,,4.53578562624846,Mitte,Hintergrund,52.51360555555556,13.418833333333334
228,2018-03-01,mc145,,12.925852139912449,14.856145607548129,51.588125292192615,,,1.2535488121042122,Frohnau,Stadtrand,52.65326944444444,13.296080555555555
229,2018-03-01,mc115,,49.35948191593352,102.62129181010668,,,,34.936854519954096,Hardenbergplatz,Verkehr,52.5066,13.332972222222223
230,2018-03-01,mc282,,22.67975689574567,31.124144672531774,,,1.4109768795953932,5.531317735560373,Karlshorst,Hintergrund,52.485296,13.529504000000001
231,2018-03-01,mc124,,43.07715478770879,98.36205852352415,,33.73435972629521,,36.18347039823197,Mariendorfer Damm,Verkehr,52.43805555555555,13.3875
232,2018-03-01,mw088,0.4157385566747419,56.408910280929916,129.4727038973182,30.694998724977687,33.4430596285435,,47.812890475583316,Messwagen Leipziger Str.,Verkehr,52.510222222222225,13.38811111111111
233,2018-03-01,mc027,,18.511978088336782,20.903877282138147,49.73818581780538,,,1.5041215728715733,Marienfelde,Stadtrand,52.398405555555556,13.368102777777779
234,2018-03-01,mc032,,18.135540184453227,20.46101619278338,48.47394704407328,23.29210654936461,,1.5634164222873896,Grunewald,Stadtrand,52.47319166666667,13.225144444444444
235,2018-03-01,mc010,,29.71506970121977,39.933215393769395,44.5592725997705,27.651148582600193,,6.708030515534022,Wedding,Hintergrund,52.543040999999995,13.349326000000001
236,2018-03-01,mc042,,28.715616898295714,37.650303880317914,44.55697224701432,29.424757745760548,,5.846710442432743,Neukölln,Hintergrund,52.48943888888889,13.430855555555555
237,2018-03-01,mc085,,14.74583492711122,16.824466615665774,54.149884185473255,26.6091472225764,,1.366467975689574,Friedrichshagen,Stadtrand,52.44769722222222,13.64705
238,2018-03-01,mc143,,56.59509541416974,147.26727655233967,,40.5327468230694,,59.367132049810884,Silbersteinstraße,Verkehr,52.467511111111115,13.441650000000001
239,2018-03-01,mc077,,15.433141017467804,18.904585830252024,47.9950486633516,25.599616430787542,,2.278401122019635,Buch,Stadtrand,52.64416666666666,13.483055555555556
240,2018-03-01,mc018,,31.481671554252202,39.5300586510264,,,,5.275293255131967,Schöneberg,Hintergrund,52.48581388888889,13.348775
241,2018-03-01,mc174,0.4398826979472141,41.79814271749755,83.31622678396872,,35.93853861192571,2.052164350376131,27.169965786901273,Frankfurter Allee,Verkehr,52.514072222222225,13.469930555555555
242,2018-03-01,mc220,,47.15799120234605,104.6421065493646,,35.589320625610945,,37.63807429130011,Karl-Marx-Straße,Verkehr,52.48166944444445,13.433966666666667
243,2018-03-01,mc117,0.43715786901270776,47.09506353861192,91.61436950146627,,34.18275319818097,,29.11937927663734,Schildhornstraße,Verkehr,52.46361111111111,13.318249999999999
244,2018-04-01,mw088,0.3423490338164252,51.12462121212122,99.28611111111111,50.95537439613527,28.46962560386473,,31.511616161616168,Messwagen Leipziger Str.,Verkehr,52.510222222222225,13.38811111111111
245,2018-04-01,mc117,0.3726388888888889,46.1375,82.71174242424242,,28.179166666666664,,23.925252525252525,Schildhornstraße,Verkehr,52.46361111111111,13.318249999999999
246,2018-04-01,mc115,,47.07554347826088,86.02071256038649,,,,25.56425120772947,Hardenbergplatz,Verkehr,52.5066,13.332972222222223
247,2018-04-01,mc077,,12.504924242424243,15.082070707070708,66.0186507936508,21.9375,,1.638888888888889,Buch,Stadtrand,52.64416666666666,13.483055555555556
248,2018-04-01,mc174,0.35733695652173914,40.64045893719806,70.18701690821258,,30.315530303030304,1.5413647342995167,19.307669082125607,Frankfurter Allee,Verkehr,52.514072222222225,13.469930555555555
249,2018-04-01,mc018,,24.21545893719806,29.0743961352657,,,,3.218840579710145,Schöneberg,Hintergrund,52.48581388888889,13.348775
250,2018-04-01,mc027,,11.298731884057974,12.735024154589373,69.5871376811594,,,0.9443236714975846,Marienfelde,Stadtrand,52.398405555555556,13.368102777777779
251,2018-04-01,mc032,,12.043823326432024,13.121350931677021,66.78912180814353,19.64444444444445,,0.7195393374741201,Grunewald,Stadtrand,52.47319166666667,13.225144444444444
252,2018-04-01,mc124,,45.27131642512078,94.64106280193234,,29.859722222222217,,32.28967391304347,Mariendorfer Damm,Verkehr,52.43805555555555,13.3875
253,2018-04-01,mc220,,51.29311594202898,100.64275362318838,,33.38055555555556,,32.31038647342995,Karl-Marx-Straße,Verkehr,52.48166944444445,13.433966666666667
254,2018-04-01,mc282,,18.843055555555555,23.97294685990338,,,1.181439393939394,3.365700483091787,Karlshorst,Hintergrund,52.485296,13.529504000000001
255,2018-04-01,mc143,,53.68449400840704,114.20911129932867,,33.72731193926845,,39.65639861346382,Silbersteinstraße,Verkehr,52.467511111111115,13.441650000000001
256,2018-04-01,mc085,,10.404166666666667,12.086111111111109,72.08339371980675,19.363888888888894,,1.090530303030303,Friedrichshagen,Stadtrand,52.44769722222222,13.64705
257,2018-04-01,mc145,,9.607971014492751,10.814432367149756,67.15615942028987,,,0.7646739130434781,Frohnau,Stadtrand,52.65326944444444,13.296080555555555
258,2018-04-01,mc042,,24.235748792270535,29.45555555555556,65.53327294685988,25.952777777777776,,3.4182367149758455,Neukölln,Hintergrund,52.48943888888889,13.430855555555555
259,2018-04-01,mc171,,26.002596618357483,33.17427536231884,,24.268055555555563,,4.727294685990338,Mitte,Hintergrund,52.51360555555556,13.418833333333334
260,2018-04-01,mc010,,28.140782828282838,38.28068181818181,63.218719806763275,24.221316425120772,,6.671085858585859,Wedding,Hintergrund,52.543040999999995,13.349326000000001
261,2018-05-01,mc282,,11.22702834799609,13.185606060606059,,,1.0211069318713077,1.3236803519061584,Karlshorst,Hintergrund,52.485296,13.529504000000001
262,2018-05-01,mc117,0.286021505376344,37.74425708699901,58.490469208211145,,28.420698924731187,,13.601783968719454,Schildhornstraße,Verkehr,52.46361111111111,13.318249999999999
263,2018-05-01,mc085,,6.901881720430106,7.6569658719027585,84.49994156147734,19.437980030721967,,0.5094670406732118,Friedrichshagen,Stadtrand,52.44769722222222,13.64705
264,2018-05-01,mc077,,8.043132942326492,8.834066471163247,76.45804114071997,18.82538569424965,,0.4563782991202346,Buch,Stadtrand,52.64416666666666,13.483055555555556
265,2018-05-01,mc145,,6.543940456457988,7.043255131964809,80.19594436652643,,,0.3192496493688639,Frohnau,Stadtrand,52.65326944444444,13.296080555555555
266,2018-05-01,mc174,0.2686079943899018,28.716593352883677,43.351319648093835,,25.497604020570364,1.2132772323515661,9.584506353861192,Frankfurter Allee,Verkehr,52.514072222222225,13.469930555555555
267,2018-05-01,mc018,,17.56378299120234,19.744134897360706,,,,1.4649315738025412,Schöneberg,Hintergrund,52.48581388888889,13.348775
268,2018-05-01,mc220,,32.43829423264907,51.65267860937566,,29.36033724340176,,12.599191423349906,Karl-Marx-Straße,Verkehr,52.48166944444445,13.433966666666667
269,2018-05-01,mc032,,10.290790088826554,10.841806919121085,75.58754090696587,19.833333333333332,,0.3746493688639552,Grunewald,Stadtrand,52.47319166666667,13.225144444444444
270,2018-05-01,mc010,,18.468676951846653,21.307094436652644,81.25444132772326,21.88575268817204,,1.8826554464703134,Wedding,Hintergrund,52.543040999999995,13.349326000000001
271,2018-05-01,mw088,0.29491584852734914,50.00623167155426,84.55070869990224,62.61339198435973,25.473118279569892,,22.59274193548387,Messwagen Leipziger Str.,Verkehr,52.510222222222225,13.38811111111111
272,2018-05-01,mc027,,9.411348761103318,10.129441327723232,83.31048387096774,,,0.47335203366058914,Marienfelde,Stadtrand,52.398405555555556,13.368102777777779
273,2018-05-01,mc042,,14.486208508648899,16.56030855539972,84.98492286115008,26.118479221927497,,1.3719611968209444,Neukölln,Hintergrund,52.48943888888889,13.430855555555555
274,2018-05-01,mc124,,29.458391771856007,51.74526647966338,,25.184139784946236,,14.61062412342216,Mariendorfer Damm,Verkehr,52.43805555555555,13.3875
275,2018-05-01,mc171,,15.431100981767186,18.416199158485277,,21.5255376344086,,1.9787283777466105,Mitte,Hintergrund,52.51360555555556,13.418833333333334
276,2018-05-01,mc115,,41.486909770920974,75.24865591397848,,,,22.210378681626928,Hardenbergplatz,Verkehr,52.5066,13.332972222222223
277,2018-05-01,mc143,,48.84894704407326,93.83468804454075,,29.829912023460416,,29.461664329125764,Silbersteinstraße,Verkehr,52.467511111111115,13.441650000000001
278,2018-06-01,mc124,,41.4066425120773,85.43599033816425,,21.481582125603868,,28.786292270531405,Mariendorfer Damm,Verkehr,52.43805555555555,13.3875
279,2018-06-01,mc042,,16.080857487922703,19.023731884057973,73.87771739130436,21.05787037037037,,1.9264492753623186,Neukölln,Hintergrund,52.48943888888889,13.430855555555555
280,2018-06-01,mc171,,17.608272946859906,21.855544576196753,,17.49747584541063,,2.7664306104523493,Mitte,Hintergrund,52.51360555555556,13.418833333333334
281,2018-06-01,mc115,,32.38272946859904,55.614130434782595,,,,15.260024154589372,Hardenbergplatz,Verkehr,52.5066,13.332972222222223
282,2018-06-01,mc143,,38.45573671497584,69.06962560386474,,24.042814009661836,,20.0625,Silbersteinstraße,Verkehr,52.467511111111115,13.441650000000001
283,2018-06-01,mc174,0.2683283926218708,33.19865502854633,54.72023495827843,,22.30432367149758,0.8174430641821946,14.146552481335089,Frankfurter Allee,Verkehr,52.514072222222225,13.469930555555555
284,2018-06-01,mc145,,6.725378787878788,7.130429292929294,70.74722222222222,,,0.28623737373737373,Frohnau,Stadtrand,52.65326944444444,13.296080555555555
285,2018-06-01,mc010,,20.690025252525253,24.717676767676767,70.07506038647342,18.049203996486607,,2.631060606060606,Wedding,Hintergrund,52.543040999999995,13.349326000000001
286,2018-06-01,mc032,,8.364855072463769,8.57711352657005,69.38868808219496,13.646416799574697,,0.15628019323671496,Grunewald,Stadtrand,52.47319166666667,13.225144444444444
287,2018-06-01,mc018,,14.332004830917874,15.974939613526573,,,,1.0948671497584541,Schöneberg,Hintergrund,52.48581388888889,13.348775
288,2018-06-01,mc117,0.27125000000000005,38.02512626262626,64.0016414141414,,21.799094202898548,,17.0280303030303,Schildhornstraße,Verkehr,52.46361111111111,13.318249999999999
289,2018-06-01,mc077,,8.487379227053141,9.366364734299518,69.64402173913044,15.931944444444445,,0.5201690821256039,Buch,Stadtrand,52.64416666666666,13.483055555555556
290,2018-06-01,mw088,0.2743176328502415,39.19595410628018,68.83514492753623,60.47669082125605,20.341666666666665,,19.421799516908205,Messwagen Leipziger Str.,Verkehr,52.510222222222225,13.38811111111111
291,2018-06-01,mc027,,7.894323671497585,8.421256038647341,77.16733091787438,,,0.372403381642512,Marienfelde,Stadtrand,52.398405555555556,13.368102777777779
