,date,Code,CO,NO_2,NOx,O_3,PM10,SO_2,NO,station,type,nördliche Breite,östliche Länge
63,2017-01-04,mc077,,9.625,26.166666666666668,,7.666666666666667,,10.791666666666666,077 Buch,Stadtrand,"52° 38' 39""","13° 28' 59"""
64,2017-01-05,mc115,,31.75,57.708333333333336,,,,17.0,115 Hardenbergplatz,Verkehr,"52° 30' 23,76""","13° 19' 58,70"""
65,2017-01-05,mc042,,23.291666666666668,29.791666666666668,49.0,8.25,,4.208333333333333,042 Neukölln,Hintergrund,"52° 29' 21,98""","13° 25' 51,08"""
66,2017-01-05,mc077,,3.7916666666666665,5.291666666666667,,5.291666666666667,,0.9583333333333334,077 Buch,Stadtrand,"52° 38' 39""","13° 28' 59"""
67,2017-01-05,mc171,,19.083333333333332,24.291666666666668,,7.083333333333333,,3.4166666666666665,171 Mitte,Hintergrund,"52° 30' 48,98""","13° 25' 7,80"""
68,2017-01-05,mc032,,6.625,6.791666666666667,61.833333333333336,5.0,,0.041666666666666664,032 Grunewald,Stadtrand,"52° 28' 23,49""","13° 13' 30,52"""
69,2017-01-05,mc018,,18.25,22.0,,,,2.375,018 Schöneberg,Hintergrund,"52° 29' 8,93""","13° 20' 55,59"""
70,2017-01-05,mc174,0.24583333333333332,21.708333333333332,31.291666666666668,,10.208333333333334,1.0,6.25,174 Frankfurter Allee,Verkehr,"52° 30' 50,66""","13° 28' 11,75"""
71,2017-01-05,mc027,,15.166666666666666,15.833333333333334,56.625,,,0.4583333333333333,027 Marienfelde,Stadtrand,"52° 23' 54,26""","13° 22' 5,17"""
72,2017-01-05,mc085,,6.291666666666667,7.083333333333333,63.0,4.625,,0.625,085 Friedrichshagen,Stadtrand,"52° 26' 51,71""","13° 38' 49,38"""
73,2017-01-05,mc145,,4.909090909090909,4.7272727272727275,61.095238095238095,,,0.18181818181818182,145 Frohnau,Stadtrand,"52° 39' 11,77""","13° 17' 45,89"""
74,2017-01-05,mc282,,15.458333333333334,17.875,,,0.125,1.7083333333333333,282 Karlshorst,Hintergrund,"52° 29' 7,0656""","13° 31' 46,2144"""
75,2017-01-05,mc124,,42.666666666666664,98.5,,12.0,,36.583333333333336,124 Mariendorfer Damm,Verkehr,52° 26' 17'',13° 23' 15''
76,2017-01-05,mc010,,12.869565217391305,13.782608695652174,56.5,6.208333333333333,,0.5217391304347826,010 Wedding,Hintergrund,"52° 32' 34,9476""","13° 20' 57,5736"""
77,2017-01-05,mc220,,33.625,52.375,,13.125,,12.333333333333334,220 Karl-Marx-Straße,Verkehr,"52° 28' 54,01""","13° 26' 2,28"""
